
Tiempo	Valor integrado
     0.00000	     0.00000
     0.10053	     0.01005
     0.20735	     0.03142
     0.30788	     0.06158
     0.41469	     0.10430
     0.52779	     0.16085
     0.64717	     0.23248
     0.77912	     0.32484
     0.92991	     0.44548
     1.12469	     0.62078
     1.57080	     1.06689
     1.57708	     1.07254
     2.02319	     1.42943
     2.21797	     1.56577
     2.36877	     1.65625
     2.50071	     1.72223
     2.62009	     1.76998
     2.73319	     1.80391
     2.84001	     1.82527
     2.94054	     1.83532
     3.04735	     1.83532
     3.24213	     1.81584
     3.34895	     1.79448
     3.44948	     1.76432
     3.55629	     1.72160
     3.66939	     1.66505
     3.78877	     1.59342
     3.92072	     1.50106
     4.07151	     1.38042
     4.26629	     1.20512
     5.16479	     0.48632
     5.35957	     0.34997
     5.51037	     0.25950
     5.64231	     0.19352
     5.76169	     0.14577
     5.87479	     0.11184
     5.98161	     0.09048
     6.08214	     0.08042
     6.18895	     0.08042
