
Valor Original	Valor emitido
     0.00000	     0.00000
     0.00628	     0.00000
     0.01257	     0.00000
     0.01885	     0.00000
     0.02513	     0.00000
     0.03141	     0.00000
     0.03769	     0.00000
     0.04397	     0.00000
     0.05024	     0.00000
     0.05652	     0.00000
     0.06279	     0.00000
     0.06906	     0.00000
     0.07533	     0.00000
     0.08159	     0.00000
     0.08785	     0.00000
     0.09411	     0.00000
     0.10036	     0.10000
     0.10661	     0.10000
     0.11286	     0.10000
     0.11910	     0.10000
     0.12533	     0.10000
     0.13156	     0.10000
     0.13779	     0.10000
     0.14401	     0.10000
     0.15023	     0.10000
     0.15643	     0.10000
     0.16264	     0.10000
     0.16883	     0.10000
     0.17502	     0.10000
     0.18121	     0.10000
     0.18738	     0.10000
     0.19355	     0.10000
     0.19971	     0.10000
     0.20586	     0.20000
     0.21201	     0.20000
     0.21814	     0.20000
     0.22427	     0.20000
     0.23039	     0.20000
     0.23650	     0.20000
     0.24260	     0.20000
     0.24869	     0.20000
     0.25477	     0.20000
     0.26084	     0.20000
     0.26690	     0.20000
     0.27295	     0.20000
     0.27899	     0.20000
     0.28502	     0.20000
     0.29104	     0.20000
     0.29704	     0.20000
     0.30304	     0.30000
     0.30902	     0.30000
     0.31499	     0.30000
     0.32094	     0.30000
     0.32689	     0.30000
     0.33282	     0.30000
     0.33874	     0.30000
     0.34464	     0.30000
     0.35054	     0.30000
     0.35641	     0.30000
     0.36228	     0.30000
     0.36813	     0.30000
     0.37396	     0.30000
     0.37978	     0.30000
     0.38558	     0.30000
     0.39137	     0.30000
     0.39715	     0.30000
     0.40291	     0.40000
     0.40865	     0.40000
     0.41438	     0.40000
     0.42009	     0.40000
     0.42578	     0.40000
     0.43146	     0.40000
     0.43712	     0.40000
     0.44276	     0.40000
     0.44838	     0.40000
     0.45399	     0.40000
     0.45958	     0.40000
     0.46515	     0.40000
     0.47070	     0.40000
     0.47624	     0.40000
     0.48175	     0.40000
     0.48725	     0.40000
     0.49273	     0.40000
     0.49819	     0.40000
     0.50362	     0.50000
     0.50904	     0.50000
     0.51444	     0.50000
     0.51982	     0.50000
     0.52518	     0.50000
     0.53051	     0.50000
     0.53583	     0.50000
     0.54112	     0.50000
     0.54640	     0.50000
     0.55165	     0.50000
     0.55688	     0.50000
     0.56208	     0.50000
     0.56727	     0.50000
     0.57243	     0.50000
     0.57757	     0.50000
     0.58269	     0.50000
     0.58779	     0.50000
     0.59286	     0.50000
     0.59791	     0.50000
     0.60293	     0.60000
     0.60793	     0.60000
     0.61291	     0.60000
     0.61786	     0.60000
     0.62279	     0.60000
     0.62769	     0.60000
     0.63257	     0.60000
     0.63743	     0.60000
     0.64225	     0.60000
     0.64706	     0.60000
     0.65183	     0.60000
     0.65659	     0.60000
     0.66131	     0.60000
     0.66601	     0.60000
     0.67069	     0.60000
     0.67533	     0.60000
     0.67995	     0.60000
     0.68455	     0.60000
     0.68912	     0.60000
     0.69365	     0.60000
     0.69817	     0.60000
     0.70265	     0.70000
     0.70711	     0.70000
     0.71154	     0.70000
     0.71594	     0.70000
     0.72031	     0.70000
     0.72465	     0.70000
     0.72897	     0.70000
     0.73326	     0.70000
     0.73751	     0.70000
     0.74174	     0.70000
     0.74594	     0.70000
     0.75011	     0.70000
     0.75425	     0.70000
     0.75836	     0.70000
     0.76244	     0.70000
     0.76649	     0.70000
     0.77051	     0.70000
     0.77450	     0.70000
     0.77846	     0.70000
     0.78239	     0.70000
     0.78629	     0.70000
     0.79016	     0.70000
     0.79399	     0.70000
     0.79780	     0.70000
     0.80157	     0.80000
     0.80531	     0.80000
     0.80902	     0.80000
     0.81270	     0.80000
     0.81634	     0.80000
     0.81995	     0.80000
     0.82353	     0.80000
     0.82708	     0.80000
     0.83060	     0.80000
     0.83408	     0.80000
     0.83753	     0.80000
     0.84095	     0.80000
     0.84433	     0.80000
     0.84768	     0.80000
     0.85100	     0.80000
     0.85428	     0.80000
     0.85753	     0.80000
     0.86074	     0.80000
     0.86392	     0.80000
     0.86707	     0.80000
     0.87018	     0.80000
     0.87326	     0.80000
     0.87631	     0.80000
     0.87932	     0.80000
     0.88229	     0.80000
     0.88523	     0.80000
     0.88814	     0.80000
     0.89101	     0.80000
     0.89384	     0.80000
     0.89664	     0.80000
     0.89941	     0.80000
     0.90214	     0.90000
     0.90483	     0.90000
     0.90749	     0.90000
     0.91011	     0.90000
     0.91269	     0.90000
     0.91524	     0.90000
     0.91776	     0.90000
     0.92023	     0.90000
     0.92267	     0.90000
     0.92508	     0.90000
     0.92745	     0.90000
     0.92978	     0.90000
     0.93207	     0.90000
     0.93433	     0.90000
     0.93655	     0.90000
     0.93873	     0.90000
     0.94088	     0.90000
     0.94299	     0.90000
     0.94506	     0.90000
     0.94710	     0.90000
     0.94910	     0.90000
     0.95106	     0.90000
     0.95298	     0.90000
     0.95487	     0.90000
     0.95671	     0.90000
     0.95852	     0.90000
     0.96029	     0.90000
     0.96203	     0.90000
     0.96372	     0.90000
     0.96538	     0.90000
     0.96700	     0.90000
     0.96858	     0.90000
     0.97013	     0.90000
     0.97163	     0.90000
     0.97310	     0.90000
     0.97453	     0.90000
     0.97592	     0.90000
     0.97727	     0.90000
     0.97858	     0.90000
     0.97986	     0.90000
     0.98109	     0.90000
     0.98229	     0.90000
     0.98345	     0.90000
     0.98456	     0.90000
     0.98565	     0.90000
     0.98669	     0.90000
     0.98769	     0.90000
     0.98865	     0.90000
     0.98958	     0.90000
     0.99046	     0.90000
     0.99131	     0.90000
     0.99212	     0.90000
     0.99288	     0.90000
     0.99361	     0.90000
     0.99430	     0.90000
     0.99495	     0.90000
     0.99556	     0.90000
     0.99613	     0.90000
     0.99667	     0.90000
     0.99716	     0.90000
     0.99761	     0.90000
     0.99803	     0.90000
     0.99840	     0.90000
     0.99874	     0.90000
     0.99903	     0.90000
     0.99929	     0.90000
     0.99951	     0.90000
     0.99968	     0.90000
     0.99982	     0.90000
     0.99992	     0.90000
     0.99998	     0.90000
     1.00000	     1.00000
     0.99998	     0.90000
     0.99992	     0.90000
     0.99982	     0.90000
     0.99968	     0.90000
     0.99951	     0.90000
     0.99929	     0.90000
     0.99903	     0.90000
     0.99874	     0.90000
     0.99840	     0.90000
     0.99803	     0.90000
     0.99761	     0.90000
     0.99716	     0.90000
     0.99667	     0.90000
     0.99613	     0.90000
     0.99556	     0.90000
     0.99495	     0.90000
     0.99430	     0.90000
     0.99361	     0.90000
     0.99288	     0.90000
     0.99211	     0.90000
     0.99131	     0.90000
     0.99046	     0.90000
     0.98958	     0.90000
     0.98865	     0.90000
     0.98769	     0.90000
     0.98669	     0.90000
     0.98564	     0.90000
     0.98456	     0.90000
     0.98344	     0.90000
     0.98229	     0.90000
     0.98109	     0.90000
     0.97985	     0.90000
     0.97858	     0.90000
     0.97727	     0.90000
     0.97592	     0.90000
     0.97453	     0.90000
     0.97310	     0.90000
     0.97163	     0.90000
     0.97013	     0.90000
     0.96858	     0.90000
     0.96700	     0.90000
     0.96538	     0.90000
     0.96372	     0.90000
     0.96203	     0.90000
     0.96029	     0.90000
     0.95852	     0.90000
     0.95671	     0.90000
     0.95486	     0.90000
     0.95298	     0.90000
     0.95106	     0.90000
     0.94909	     0.90000
     0.94710	     0.90000
     0.94506	     0.90000
     0.94299	     0.90000
     0.94088	     0.90000
     0.93873	     0.90000
     0.93655	     0.90000
     0.93433	     0.90000
     0.93207	     0.90000
     0.92977	     0.90000
     0.92744	     0.90000
     0.92508	     0.90000
     0.92267	     0.90000
     0.92023	     0.90000
     0.91775	     0.90000
     0.91524	     0.90000
     0.91269	     0.90000
     0.91010	     0.90000
     0.90748	     0.90000
     0.90483	     0.90000
     0.90213	     0.90000
     0.89940	     0.80000
     0.89664	     0.80000
     0.89384	     0.80000
     0.89100	     0.80000
     0.88813	     0.80000
     0.88523	     0.80000
     0.88229	     0.80000
     0.87931	     0.80000
     0.87630	     0.80000
     0.87326	     0.80000
     0.87018	     0.80000
     0.86707	     0.80000
     0.86392	     0.80000
     0.86074	     0.80000
     0.85752	     0.80000
     0.85427	     0.80000
     0.85099	     0.80000
     0.84768	     0.80000
     0.84433	     0.80000
     0.84094	     0.80000
     0.83753	     0.80000
     0.83408	     0.80000
     0.83059	     0.80000
     0.82708	     0.80000
     0.82353	     0.80000
     0.81995	     0.80000
     0.81634	     0.80000
     0.81269	     0.80000
     0.80901	     0.80000
     0.80530	     0.80000
     0.80156	     0.80000
     0.79779	     0.70000
     0.79399	     0.70000
     0.79015	     0.70000
     0.78629	     0.70000
     0.78239	     0.70000
     0.77846	     0.70000
     0.77450	     0.70000
     0.77051	     0.70000
     0.76649	     0.70000
     0.76244	     0.70000
     0.75836	     0.70000
     0.75425	     0.70000
     0.75011	     0.70000
     0.74594	     0.70000
     0.74174	     0.70000
     0.73751	     0.70000
     0.73325	     0.70000
     0.72896	     0.70000
     0.72465	     0.70000
     0.72031	     0.70000
     0.71593	     0.70000
     0.71153	     0.70000
     0.70710	     0.70000
     0.70265	     0.70000
     0.69816	     0.60000
     0.69365	     0.60000
     0.68911	     0.60000
     0.68454	     0.60000
     0.67995	     0.60000
     0.67533	     0.60000
     0.67068	     0.60000
     0.66601	     0.60000
     0.66131	     0.60000
     0.65658	     0.60000
     0.65183	     0.60000
     0.64705	     0.60000
     0.64225	     0.60000
     0.63742	     0.60000
     0.63257	     0.60000
     0.62769	     0.60000
     0.62278	     0.60000
     0.61786	     0.60000
     0.61290	     0.60000
     0.60793	     0.60000
     0.60292	     0.60000
     0.59790	     0.50000
     0.59285	     0.50000
     0.58778	     0.50000
